model_id,samples_count,wer_mean,cer_mean,token_precision_mean,token_recall_mean,token_f1_mean,exact_match_mean,latency_sec_mean,latency_sec_p95,rtf_mean,peak_memory_mb_mean,confidence_mean
whisper:small,58,0.6858662949483736,0.433901605596728,0.44793273549278634,0.3856148647370114,0.3980130863405637,0.08620689655172414,91.49958925517245,113.59055243999528,4.534400599592829,3.551412319314891,0.4122157290328821
whisper:base,58,0.8584296531540339,0.5724857182257117,0.2522738179859728,0.21258641188825744,0.22222991353692267,0.0,15.020588503448757,46.83491053500183,1.3884178516021197,3.5514902904115875,0.30832465738797893
hf:jonatasgrosman/wav2vec2-large-xlsr-53-russian,58,0.8645664740795872,0.46768692826511116,0.4502642755196825,0.44115121765073195,0.43933778146269614,0.0,3.7108270672412393,9.41869828999952,0.3157906886113013,3.5620917616219354,
whisper:tiny,58,1.1813698807263644,0.9389365030878609,0.1910192261393133,0.176699854298203,0.17991293522498222,0.0,12.79057308620671,33.636747875001305,1.2554220191515035,4.574023838700919,0.22426214627193627
