model_id,samples_count,wer_mean,cer_mean,token_precision_mean,token_recall_mean,token_f1_mean,exact_match_mean,latency_sec_mean,latency_sec_p95,rtf_mean,peak_memory_mb_mean,confidence_mean
whisper:base,63,2.332020889163746,1.5721775845359285,0.20461108705804643,0.23678279392565107,0.20516709211021777,0.0,17.50065361905015,39.88538101001176,1.252393740962564,4.933317683991932,0.3292478330083125
whisper:tiny,63,2.5970933828076688,1.724013488734025,0.1604747849260727,0.20457637600494744,0.16459695389177537,0.0,22.341780025393717,77.7773367799702,1.544374386233471,5.885673780289907,0.26359984457492824
whisper:small,63,3.173263244691816,2.2846913071485977,0.31625963942198,0.3875489589775304,0.3275539813246763,0.07936507936507936,40.99140629206326,104.91439045001752,2.064555510356525,4.933320151435004,0.4186207495157627
hf:jonatasgrosman/wav2vec2-large-xlsr-53-russian,63,3.5871435442864015,3.040774316343077,0.28926313873337806,0.3978011406582835,0.3071391586956806,0.0,5.620272273031462,15.263895350054371,0.36165994280690916,5.480914509485638,
